ProgramName|ageLimit|ProgramDescription|programCategory|timeStart|timeEnd|duration|Date|channelNameURL
Skok na Brinka|12||Komedia kryminalna|4:15|5:55|104|2016-07-01|amc
Wanda Nevada|16||Western|5:55|0|107|2016-07-01|amc
Sezon na Szekspira|12||Serial dokumentalny|8:00|9:10|55|2016-07-07|ale_kino
Ale krótkie po polsku|12||0|9:10|10:15|0|2016-07-07|ale_kino
Mały Quinquin|12||Film kryminalny|10:15|0|197|2016-07-07|ale_kino
Gry|12||0|13:50|14:35|0|2016-07-07|ale_kino
Wizyta inspektora|12||0|14:35|16:15|0|2016-07-07|ale_kino
Ale krótkie po polsku|12||0|16:15|17:40|0|2016-07-07|ale_kino
Tylko kochankowie przeżyją|16||Horror|17:40|20:10|123|2016-07-07|ale_kino
Melancholia|12||Dramat obyczajowy|20:10|22:35|130|2016-07-07|ale_kino
Rok smoka|16||Film sensacyjny|22:35|1:00|128|2016-07-07|ale_kino
Wściekłe psy|18||Dramat kryminalny|1:00|2:40|99|2016-07-07|ale_kino
Prawo ojca|16||Dramat kryminalny|2:40|4:20|97|2016-07-07|ale_kino
Ojcze masz|12||0|4:20|4:55|0|2016-07-07|ale_kino
Supernova|12||0|4:55|5:30|0|2016-07-07|ale_kino
Autostop|12||0|5:30|0|0|2016-07-07|ale_kino
Sezon na Szekspira|12||Serial dokumentalny|8:00|9:10|55|2016-07-04|ale_kino
Ale krótkie po polsku|12||0|9:10|10:35|0|2016-07-04|ale_kino
Wizyta inspektora|12||0|10:35|0|0|2016-07-04|ale_kino
Amerykański przyjaciel|12||Film sensacyjny|12:20|14:40|121|2016-07-04|ale_kino
Ale krótkie po polsku|12||0|14:40|15:35|0|2016-07-04|ale_kino
Wszystkie odloty Cheyenne'a|12||Komediodramat|15:35|17:45|113|2016-07-04|ale_kino
Charon|12||0|17:45|18:35|0|2016-07-04|ale_kino
Rozdział 27|12||Film obyczajowy|18:35|20:10|80|2016-07-04|ale_kino
Rok smoka|16||Film sensacyjny|20:10|22:35|128|2016-07-04|ale_kino
Harry Brown|16||Film kryminalny|22:35|0:30|98|2016-07-04|ale_kino
Wielkie piękno|16||Komedia|0:30|2:50|135|2016-07-04|ale_kino
Bobry|16||0|2:50|4:25|0|2016-07-04|ale_kino
Historie miłosne|12||Dramat obyczajowy|4:25|5:50|83|2016-07-04|ale_kino
